# bjd	phase	raw_flux	raw_err	corr_flux	corr_err	dtr_flux	dtr_err
55047.81348	0.00001629	0.864865	0.000296	0.877769	0.000311	0.865831	0.000296
55047.81416	0.00003287	0.865614	0.000296	0.878546	0.000311	0.86658	0.000296
55047.81484	0.00004946	0.864589	0.000296	0.877482	0.000311	0.865555	0.000296
55047.81552	0.00006604	0.865149	0.000296	0.878064	0.000311	0.866115	0.000296
55047.8162	0.00008262	0.864721	0.000296	0.877619	0.000311	0.865686	0.000296
55047.81688	0.0000992	0.865446	0.000296	0.878373	0.000311	0.866412	0.000297
55047.81756	0.00011578	0.865358	0.000296	0.878282	0.000311	0.866324	0.000297
55047.81824	0.00013236	0.865117	0.000296	0.878032	0.000311	0.866083	0.000297
55047.81893	0.00014894	0.864913	0.000296	0.87782	0.000311	0.865878	0.000297
55047.81961	0.00016552	0.865284	0.000296	0.878206	0.000311	0.86625	0.000297
55047.82029	0.00018211	0.865484	0.000296	0.878414	0.000311	0.866449	0.000297
55047.82097	0.00019869	0.865078	0.000296	0.877993	0.000311	0.866043	0.000297
55047.82165	0.00021527	0.865953	0.000296	0.878903	0.000311	0.866918	0.000297
55047.82233	0.00023185	0.865593	0.000297	0.87853	0.000311	0.866558	0.000297
55047.82301	0.00024843	0.865988	0.000297	0.878941	0.000311	0.866953	0.000297
55047.82369	0.00026501	0.86555	0.000297	0.878488	0.000311	0.866515	0.000297
55047.82437	0.00028159	0.865898	0.000297	0.87885	0.000311	0.866863	0.000297
55047.82506	0.00029817	0.865717	0.000297	0.878664	0.000311	0.866682	0.000297
55047.82574	0.00031476	0.866062	0.000297	0.879023	0.000311	0.867027	0.000297
55047.82642	0.00033134	0.866262	0.000297	0.879232	0.000312	0.867227	0.000297
55047.8271	0.00034792	0.866355	0.000297	0.879331	0.000312	0.86732	0.000297
55047.82778	0.0003645	0.866966	0.000297	0.879966	0.000312	0.867932	0.000297
55047.82846	0.00038108	0.866463	0.000297	0.879445	0.000312	0.867428	0.000297
55047.82914	0.00039766	0.86657	0.000297	0.879558	0.000312	0.867535	0.000297
55047.82982	0.00041424	0.866966	0.000297	0.87997	0.000312	0.867931	0.000297
55047.8305	0.00043083	0.867357	0.000297	0.880378	0.000312	0.868323	0.000297
55047.83119	0.00044741	0.866818	0.000297	0.87982	0.000312	0.867783	0.000297
55047.83187	0.00046399	0.867149	0.000297	0.880165	0.000312	0.868114	0.000297
55047.83255	0.00048057	0.867825	0.000297	0.880869	0.000312	0.868791	0.000297
55047.83323	0.00049715	0.86701	0.000297	0.880022	0.000312	0.867974	0.000297
55047.83391	0.00051373	0.86839	0.000297	0.881458	0.000311	0.869356	0.000297
55047.83459	0.00053031	0.868339	0.000297	0.881406	0.000311	0.869305	0.000297
55047.83527	0.00054689	0.868281	0.000297	0.881347	0.000311	0.869246	0.000297
55047.83595	0.00056348	0.867843	0.000297	0.880893	0.000311	0.868808	0.000297
55047.83663	0.00058006	0.86829	0.000296	0.881358	0.000311	0.869255	0.000297
55047.83732	0.00059664	0.868393	0.000296	0.881467	0.000311	0.869358	0.000297
55047.838	0.00061322	0.868625	0.000296	0.881708	0.000311	0.86959	0.000297
55047.83868	0.0006298	0.868812	0.000296	0.881903	0.000311	0.869777	0.000297
55047.83936	0.00064638	0.869374	0.000296	0.882488	0.000311	0.87034	0.000297
55047.84004	0.00066296	0.869526	0.000296	0.882647	0.000311	0.870492	0.000296
55047.84072	0.00067955	0.869124	0.000296	0.882229	0.000311	0.870089	0.000296
55047.8414	0.00069613	0.86961	0.000296	0.882734	0.000311	0.870575	0.000296
55047.84208	0.00071271	0.87056	0.000296	0.883721	0.000311	0.871526	0.000296
55047.84276	0.00072929	0.870536	0.000296	0.883696	0.000311	0.871502	0.000296
55047.84345	0.00074587	0.870772	0.000296	0.883941	0.000311	0.871738	0.000296
55047.84413	0.00076245	0.870682	0.000296	0.883847	0.000311	0.871648	0.000296
55047.84481	0.00077903	0.872075	0.000296	0.885294	0.00031	0.873042	0.000296
55047.84549	0.00079561	0.871689	0.000296	0.884893	0.00031	0.872656	0.000296
55047.84617	0.0008122	0.871668	0.000296	0.88487	0.00031	0.872635	0.000296
55047.84685	0.00082878	0.872407	0.000296	0.885638	0.00031	0.873375	0.000296
55047.84753	0.00084536	0.872226	0.000296	0.885448	0.00031	0.873193	0.000296
55047.84821	0.00086194	0.873659	0.000296	0.886936	0.00031	0.874627	0.000296
55047.84889	0.00087852	0.873296	0.000296	0.886558	0.000311	0.874264	0.000296
55047.84958	0.0008951	0.873248	0.000296	0.886508	0.000311	0.874216	0.000296
55047.85026	0.00091168	0.874308	0.000296	0.887608	0.000311	0.875277	0.000296
55047.85094	0.00092827	0.874721	0.000296	0.888036	0.000311	0.875691	0.000296
55047.85162	0.00094485	0.874611	0.000296	0.88792	0.000311	0.87558	0.000296
55047.8523	0.00096143	0.874532	0.000296	0.887838	0.000311	0.875501	0.000297
55047.85298	0.00097801	0.875617	0.000296	0.888963	0.000311	0.876587	0.000297
